time_tag,p3_flux_ic
2009-06-01 00:00:00,0.155
2009-06-01 00:05:00,0.144
2009-06-01 00:10:00,0.237
2009-06-01 00:15:00,0.239
2009-06-01 00:20:00,0.337
2009-06-01 00:25:00,0.305
2009-06-01 00:30:00,0.161
2009-06-01 00:35:00,0.158
2009-06-01 00:40:00,0.159
2009-06-01 00:45:00,0.256
2009-06-01 00:50:00,0.277
2009-06-01 00:55:00,0.255
2009-06-01 01:00:00,0.211
2009-06-01 01:05:00,0.219
2009-06-01 01:10:00,0.325
2009-06-01 01:15:00,0.171
2009-06-01 01:20:00,0.275
2009-06-01 01:25:00,0.218
2009-06-01 01:30:00,0.16
2009-06-01 01:35:00,0.194
2009-06-01 01:40:00,0.158
2009-06-01 01:45:00,0.204
2009-06-01 01:50:00,0.356
2009-06-01 01:55:00,0.359
2009-06-01 02:00:00,0.339
2009-06-01 02:05:00,0.156
2009-06-01 02:10:00,0.131
2009-06-01 02:15:00,0.258
2009-06-01 02:20:00,0.16
2009-06-01 02:25:00,0.288
2009-06-01 02:30:00,0.179
2009-06-01 02:35:00,0.157
2009-06-01 02:40:00,0.378
2009-06-01 02:45:00,0.184
2009-06-01 02:50:00,0.222
2009-06-01 02:55:00,0.225
2009-06-01 03:00:00,0.195
2009-06-01 03:05:00,0.368
2009-06-01 03:10:00,0.162
2009-06-01 03:15:00,0.131
2009-06-01 03:20:00,0.344
2009-06-01 03:25:00,0.232
2009-06-01 03:30:00,0.32
2009-06-01 03:35:00,0.194
2009-06-01 03:40:00,0.22
2009-06-01 03:45:00,0.229
2009-06-01 03:50:00,0.21
2009-06-01 03:55:00,0.131
2009-06-01 04:00:00,0.194
2009-06-01 04:05:00,0.442
2009-06-01 04:10:00,0.231
2009-06-01 04:15:00,0.324
2009-06-01 04:20:00,0.211
2009-06-01 04:25:00,0.394
2009-06-01 04:30:00,0.259
2009-06-01 04:35:00,0.243
2009-06-01 04:40:00,0.136
2009-06-01 04:45:00,0.156
2009-06-01 04:50:00,0.266
2009-06-01 04:55:00,0.332
2009-06-01 05:00:00,0.207
2009-06-01 05:05:00,0.199
2009-06-01 05:10:00,0.275
2009-06-01 05:15:00,0.188
2009-06-01 05:20:00,0.331
2009-06-01 05:25:00,0.161
2009-06-01 05:30:00,0.197
2009-06-01 05:35:00,0.189
2009-06-01 05:40:00,0.255
2009-06-01 05:45:00,0.22
2009-06-01 05:50:00,0.267
2009-06-01 05:55:00,0.173
2009-06-01 06:00:00,0.136
2009-06-01 06:05:00,0.608
2009-06-01 06:10:00,0.262
2009-06-01 06:15:00,0.2
2009-06-01 06:20:00,0.187
2009-06-01 06:25:00,0.189
2009-06-01 06:30:00,0.37
2009-06-01 06:35:00,0.187
2009-06-01 06:40:00,0.156
2009-06-01 06:45:00,0.196
2009-06-01 06:50:00,0.315
2009-06-01 06:55:00,0.291
2009-06-01 07:00:00,0.33
2009-06-01 07:05:00,0.356
2009-06-01 07:10:00,0.139
2009-06-01 07:15:00,0.161
2009-06-01 07:20:00,0.252
2009-06-01 07:25:00,0.352
2009-06-01 07:30:00,0.259
2009-06-01 07:35:00,0.184
2009-06-01 07:40:00,0.289
2009-06-01 07:45:00,0.151
2009-06-01 07:50:00,0.241
2009-06-01 07:55:00,0.237
2009-06-01 08:00:00,0.251
2009-06-01 08:05:00,0.332
2009-06-01 08:10:00,0.131
2009-06-01 08:15:00,0.165
2009-06-01 08:20:00,0.21
2009-06-01 08:25:00,0.203
2009-06-01 08:30:00,0.182
2009-06-01 08:35:00,0.136
2009-06-01 08:40:00,0.327
2009-06-01 08:45:00,0.188
2009-06-01 08:50:00,0.222
2009-06-01 08:55:00,0.327
2009-06-01 09:00:00,0.239
2009-06-01 09:05:00,0.2
2009-06-01 09:10:00,0.173
2009-06-01 09:15:00,0.338
2009-06-01 09:20:00,0.162
2009-06-01 09:25:00,0.215
2009-06-01 09:30:00,0.197
2009-06-01 09:35:00,0.152
2009-06-01 09:40:00,0.131
2009-06-01 09:45:00,0.215
2009-06-01 09:50:00,0.333
2009-06-01 09:55:00,0.309
2009-06-01 10:00:00,0.136
2009-06-01 10:05:00,0.192
2009-06-01 10:10:00,0.232
2009-06-01 10:15:00,0.201
2009-06-01 10:20:00,0.194
2009-06-01 10:25:00,0.275
2009-06-01 10:30:00,0.406
2009-06-01 10:35:00,0.299
2009-06-01 10:40:00,0.268
2009-06-01 10:45:00,0.358
2009-06-01 10:50:00,0.206
2009-06-01 10:55:00,0.253
2009-06-01 11:00:00,0.206
2009-06-01 11:05:00,0.248
2009-06-01 11:10:00,0.491
2009-06-01 11:15:00,0.313
2009-06-01 11:20:00,0.136
2009-06-01 11:25:00,0.232
2009-06-01 11:30:00,0.233
2009-06-01 11:35:00,0.131
2009-06-01 11:40:00,0.316
2009-06-01 11:45:00,0.254
2009-06-01 11:50:00,0.131
2009-06-01 11:55:00,0.294
2009-06-01 12:00:00,0.131
2009-06-01 12:05:00,0.146
2009-06-01 12:10:00,0.162
2009-06-01 12:15:00,0.161
2009-06-01 12:20:00,0.167
2009-06-01 12:25:00,0.184
2009-06-01 12:30:00,0.156
2009-06-01 12:35:00,0.206
2009-06-01 12:40:00,0.289
2009-06-01 12:45:00,0.252
2009-06-01 12:50:00,0.131
2009-06-01 12:55:00,0.177
2009-06-01 13:00:00,0.237
