time_tag,p3_flux_ic
2008-10-01 00:00:00,0.219
2008-10-01 00:05:00,0.117
2008-10-01 00:10:00,0.172
2008-10-01 00:15:00,0.119
2008-10-01 00:20:00,0.13
2008-10-01 00:25:00,0.213
2008-10-01 00:30:00,0.117
2008-10-01 00:35:00,0.333
2008-10-01 00:40:00,0.19
2008-10-01 00:45:00,0.158
2008-10-01 00:50:00,0.179
2008-10-01 00:55:00,0.133
2008-10-01 01:00:00,0.172
2008-10-01 01:05:00,0.346
2008-10-01 01:10:00,0.113
2008-10-01 01:15:00,0.215
2008-10-01 01:20:00,0.223
2008-10-01 01:25:00,0.21
2008-10-01 01:30:00,0.406
2008-10-01 01:35:00,0.338
2008-10-01 01:40:00,0.163
2008-10-01 01:45:00,0.177
2008-10-01 01:50:00,0.181
2008-10-01 01:55:00,0.203
2008-10-01 02:00:00,0.229
2008-10-01 02:05:00,0.292
2008-10-01 02:10:00,0.146
2008-10-01 02:15:00,0.117
2008-10-01 02:20:00,0.161
2008-10-01 02:25:00,0.223
2008-10-01 02:30:00,0.157
2008-10-01 02:35:00,0.113
2008-10-01 02:40:00,0.148
2008-10-01 02:45:00,0.161
2008-10-01 02:50:00,0.175
2008-10-01 02:55:00,0.206
2008-10-01 03:00:00,0.161
2008-10-01 03:05:00,0.244
2008-10-01 03:10:00,0.343
2008-10-01 03:15:00,0.24
2008-10-01 03:20:00,0.207
2008-10-01 03:25:00,0.147
2008-10-01 03:30:00,0.158
2008-10-01 03:35:00,0.187
2008-10-01 03:40:00,0.163
2008-10-01 03:45:00,0.166
2008-10-01 03:50:00,0.23
2008-10-01 03:55:00,0.163
2008-10-01 04:00:00,0.2
2008-10-01 04:05:00,0.159
2008-10-01 04:10:00,0.236
2008-10-01 04:15:00,0.197
2008-10-01 04:20:00,0.135
2008-10-01 04:25:00,0.164
2008-10-01 04:30:00,0.179
2008-10-01 04:35:00,0.239
2008-10-01 04:40:00,0.126
2008-10-01 04:45:00,0.196
2008-10-01 04:50:00,0.207
2008-10-01 04:55:00,0.185
2008-10-01 05:00:00,0.168
2008-10-01 05:05:00,0.237
2008-10-01 05:10:00,0.163
2008-10-01 05:15:00,0.113
2008-10-01 05:20:00,0.2
2008-10-01 05:25:00,0.122
2008-10-01 05:30:00,0.247
2008-10-01 05:35:00,0.251
2008-10-01 05:40:00,0.187
2008-10-01 05:45:00,0.139
2008-10-01 05:50:00,0.163
2008-10-01 05:55:00,0.141
2008-10-01 06:00:00,0.19
2008-10-01 06:05:00,0.324
2008-10-01 06:10:00,0.196
2008-10-01 06:15:00,0.169
2008-10-01 06:20:00,0.157
2008-10-01 06:25:00,0.161
2008-10-01 06:30:00,0.207
2008-10-01 06:35:00,0.236
2008-10-01 06:40:00,0.2
2008-10-01 06:45:00,0.136
2008-10-01 06:50:00,0.195
2008-10-01 06:55:00,0.231
2008-10-01 07:00:00,0.185
2008-10-01 07:05:00,0.193
2008-10-01 07:10:00,0.191
2008-10-01 07:15:00,0.189
2008-10-01 07:20:00,0.436
2008-10-01 07:25:00,0.197
2008-10-01 07:30:00,0.197
2008-10-01 07:35:00,0.223
2008-10-01 07:40:00,0.121
2008-10-01 07:45:00,0.23
2008-10-01 07:50:00,0.233
2008-10-01 07:55:00,0.154
2008-10-01 08:00:00,0.185
2008-10-01 08:05:00,0.19
2008-10-01 08:10:00,0.141
2008-10-01 08:15:00,0.121
2008-10-01 08:20:00,0.208
2008-10-01 08:25:00,0.163
2008-10-01 08:30:00,0.242
2008-10-01 08:35:00,0.163
2008-10-01 08:40:00,0.141
2008-10-01 08:45:00,0.214
2008-10-01 08:50:00,0.305
2008-10-01 08:55:00,0.115
2008-10-01 09:00:00,0.148
2008-10-01 09:05:00,0.238
2008-10-01 09:10:00,0.191
2008-10-01 09:15:00,0.17
2008-10-01 09:20:00,0.255
2008-10-01 09:25:00,0.113
2008-10-01 09:30:00,0.161
2008-10-01 09:35:00,0.173
2008-10-01 09:40:00,0.177
2008-10-01 09:45:00,0.207
2008-10-01 09:50:00,0.113
2008-10-01 09:55:00,0.2
2008-10-01 10:00:00,0.177
2008-10-01 10:05:00,0.183
2008-10-01 10:10:00,0.148
2008-10-01 10:15:00,0.167
2008-10-01 10:20:00,0.183
2008-10-01 10:25:00,0.154
2008-10-01 10:30:00,0.164
2008-10-01 10:35:00,0.134
2008-10-01 10:40:00,0.22
2008-10-01 10:45:00,0.203
2008-10-01 10:50:00,0.322
2008-10-01 10:55:00,0.169
2008-10-01 11:00:00,0.324
2008-10-01 11:05:00,0.18
2008-10-01 11:10:00,0.117
2008-10-01 11:15:00,0.229
2008-10-01 11:20:00,0.198
2008-10-01 11:25:00,0.168
2008-10-01 11:30:00,0.113
2008-10-01 11:35:00,0.165
2008-10-01 11:40:00,0.438
2008-10-01 11:45:00,0.229
2008-10-01 11:50:00,0.162
2008-10-01 11:55:00,0.32
2008-10-01 12:00:00,0.216
2008-10-01 12:05:00,0.212
2008-10-01 12:10:00,0.113
2008-10-01 12:15:00,0.117
2008-10-01 12:20:00,0.17
2008-10-01 12:25:00,0.198
2008-10-01 12:30:00,0.17
2008-10-01 12:35:00,0.182
2008-10-01 12:40:00,0.223
2008-10-01 12:45:00,0.173
2008-10-01 12:50:00,0.207
2008-10-01 12:55:00,0.472
2008-10-01 13:00:00,0.18
