time_tag,p3_flux_ic
2008-08-01 00:00:00,0.219
2008-08-01 00:05:00,0.393
2008-08-01 00:10:00,0.301
2008-08-01 00:15:00,0.2
2008-08-01 00:20:00,0.187
2008-08-01 00:25:00,0.258
2008-08-01 00:30:00,0.223
2008-08-01 00:35:00,0.27
2008-08-01 00:40:00,0.268
2008-08-01 00:45:00,0.385
2008-08-01 00:50:00,0.296
2008-08-01 00:55:00,0.287
2008-08-01 01:00:00,0.148
2008-08-01 01:05:00,0.153
2008-08-01 01:10:00,0.173
2008-08-01 01:15:00,0.257
2008-08-01 01:20:00,0.267
2008-08-01 01:25:00,0.199
2008-08-01 01:30:00,0.157
2008-08-01 01:35:00,0.19
2008-08-01 01:40:00,0.436
2008-08-01 01:45:00,0.237
2008-08-01 01:50:00,0.185
2008-08-01 01:55:00,0.149
2008-08-01 02:00:00,0.145
2008-08-01 02:05:00,0.193
2008-08-01 02:10:00,0.269
2008-08-01 02:15:00,0.259
2008-08-01 02:20:00,0.211
2008-08-01 02:25:00,0.239
2008-08-01 02:30:00,0.177
2008-08-01 02:35:00,0.226
2008-08-01 02:40:00,0.201
2008-08-01 02:45:00,0.195
2008-08-01 02:50:00,0.366
2008-08-01 02:55:00,0.211
2008-08-01 03:00:00,0.183
2008-08-01 03:05:00,0.194
2008-08-01 03:10:00,0.166
2008-08-01 03:15:00,0.196
2008-08-01 03:20:00,0.201
2008-08-01 03:25:00,0.226
2008-08-01 03:30:00,0.191
2008-08-01 03:35:00,0.233
2008-08-01 03:40:00,0.249
2008-08-01 03:45:00,0.172
2008-08-01 03:50:00,0.19
2008-08-01 03:55:00,0.231
2008-08-01 04:00:00,0.26
2008-08-01 04:05:00,0.261
2008-08-01 04:10:00,0.203
2008-08-01 04:15:00,0.264
2008-08-01 04:20:00,0.251
2008-08-01 04:25:00,0.2
2008-08-01 04:30:00,0.267
2008-08-01 04:35:00,0.246
2008-08-01 04:40:00,0.47
2008-08-01 04:45:00,0.259
2008-08-01 04:50:00,0.191
2008-08-01 04:55:00,0.327
2008-08-01 05:00:00,0.195
2008-08-01 05:05:00,0.23
2008-08-01 05:10:00,0.206
2008-08-01 05:15:00,0.282
2008-08-01 05:20:00,0.353
2008-08-01 05:25:00,0.264
2008-08-01 05:30:00,0.185
2008-08-01 05:35:00,0.236
2008-08-01 05:40:00,0.142
2008-08-01 05:45:00,0.269
2008-08-01 05:50:00,0.23
2008-08-01 05:55:00,0.133
2008-08-01 06:00:00,0.272
2008-08-01 06:05:00,0.181
2008-08-01 06:10:00,0.148
2008-08-01 06:15:00,0.251
2008-08-01 06:20:00,0.184
2008-08-01 06:25:00,0.155
2008-08-01 06:30:00,0.246
2008-08-01 06:35:00,0.27
2008-08-01 06:40:00,0.287
2008-08-01 06:45:00,0.33
2008-08-01 06:50:00,0.247
2008-08-01 06:55:00,0.254
2008-08-01 07:00:00,0.168
2008-08-01 07:05:00,0.153
2008-08-01 07:10:00,0.144
2008-08-01 07:15:00,0.146
2008-08-01 07:20:00,0.149
2008-08-01 07:25:00,0.227
2008-08-01 07:30:00,0.13
2008-08-01 07:35:00,0.243
2008-08-01 07:40:00,0.254
2008-08-01 07:45:00,0.214
2008-08-01 07:50:00,0.148
2008-08-01 07:55:00,0.192
2008-08-01 08:00:00,0.155
2008-08-01 08:05:00,0.211
2008-08-01 08:10:00,0.247
2008-08-01 08:15:00,0.195
2008-08-01 08:20:00,0.178
2008-08-01 08:25:00,0.186
2008-08-01 08:30:00,0.203
2008-08-01 08:35:00,0.173
2008-08-01 08:40:00,0.129
2008-08-01 08:45:00,0.199
2008-08-01 08:50:00,0.21
2008-08-01 08:55:00,0.307
2008-08-01 09:00:00,0.197
2008-08-01 09:05:00,0.18
2008-08-01 09:10:00,0.239
2008-08-01 09:15:00,0.233
2008-08-01 09:20:00,0.257
2008-08-01 09:25:00,0.192
2008-08-01 09:30:00,0.192
2008-08-01 09:35:00,0.247
2008-08-01 09:40:00,0.322
2008-08-01 09:45:00,0.179
2008-08-01 09:50:00,0.244
2008-08-01 09:55:00,0.176
2008-08-01 10:00:00,0.237
2008-08-01 10:05:00,0.234
2008-08-01 10:10:00,0.312
2008-08-01 10:15:00,0.202
2008-08-01 10:20:00,0.3
2008-08-01 10:25:00,0.242
2008-08-01 10:30:00,0.277
2008-08-01 10:35:00,0.207
2008-08-01 10:40:00,0.257
2008-08-01 10:45:00,0.399
2008-08-01 10:50:00,0.167
2008-08-01 10:55:00,0.259
2008-08-01 11:00:00,0.226
2008-08-01 11:05:00,0.269
2008-08-01 11:10:00,0.284
2008-08-01 11:15:00,0.121
2008-08-01 11:20:00,0.101
2008-08-01 11:25:00,0.152
2008-08-01 11:30:00,0.262
2008-08-01 11:35:00,0.207
2008-08-01 11:40:00,0.277
2008-08-01 11:45:00,0.255
2008-08-01 11:50:00,0.329
2008-08-01 11:55:00,0.151
2008-08-01 12:00:00,0.288
2008-08-01 12:05:00,0.281
2008-08-01 12:10:00,0.25
2008-08-01 12:15:00,0.14
2008-08-01 12:20:00,0.148
2008-08-01 12:25:00,0.135
2008-08-01 12:30:00,0.221
2008-08-01 12:35:00,0.21
2008-08-01 12:40:00,0.164
2008-08-01 12:45:00,0.296
2008-08-01 12:50:00,0.219
2008-08-01 12:55:00,0.209
2008-08-01 13:00:00,0.164
