time_tag,p3_flux_ic
1997-12-01 00:00:00,0.343
1997-12-01 00:05:00,0.206
1997-12-01 00:10:00,0.153
1997-12-01 00:15:00,0.103
1997-12-01 00:20:00,0.232
1997-12-01 00:25:00,0.297
1997-12-01 00:30:00,0.17
1997-12-01 00:35:00,0.152
1997-12-01 00:40:00,0.56
1997-12-01 00:45:00,0.3
1997-12-01 00:50:00,0.243
1997-12-01 00:55:00,0.145
1997-12-01 01:00:00,0.179
1997-12-01 01:05:00,0.118
1997-12-01 01:10:00,0.397
1997-12-01 01:15:00,0.234
1997-12-01 01:20:00,0.297
1997-12-01 01:25:00,0.18
1997-12-01 01:30:00,0.162
1997-12-01 01:35:00,0.285
1997-12-01 01:40:00,0.114
1997-12-01 01:45:00,0.12
1997-12-01 01:50:00,0.158
1997-12-01 01:55:00,0.225
1997-12-01 02:00:00,0.126
1997-12-01 02:05:00,0.372
1997-12-01 02:10:00,0.201
1997-12-01 02:15:00,0.125
1997-12-01 02:20:00,0.176
1997-12-01 02:25:00,0.255
1997-12-01 02:30:00,0.159
1997-12-01 02:35:00,0.224
1997-12-01 02:40:00,0.291
1997-12-01 02:45:00,0.216
1997-12-01 02:50:00,0.103
1997-12-01 02:55:00,0.355
1997-12-01 03:00:00,0.126
1997-12-01 03:05:00,0.234
1997-12-01 03:10:00,0.151
1997-12-01 03:15:00,0.103
1997-12-01 03:20:00,0.195
1997-12-01 03:25:00,0.143
1997-12-01 03:30:00,0.177
1997-12-01 03:35:00,0.264
1997-12-01 03:40:00,0.205
1997-12-01 03:45:00,0.157
1997-12-01 03:50:00,0.155
1997-12-01 03:55:00,0.27
1997-12-01 04:00:00,0.105
1997-12-01 04:05:00,0.103
1997-12-01 04:10:00,0.157
1997-12-01 04:15:00,0.131
1997-12-01 04:20:00,0.177
1997-12-01 04:25:00,0.643
1997-12-01 04:30:00,0.191
1997-12-01 04:35:00,0.162
1997-12-01 04:40:00,0.23
1997-12-01 04:45:00,0.147
1997-12-01 04:50:00,0.191
1997-12-01 04:55:00,0.195
1997-12-01 05:00:00,0.234
1997-12-01 05:05:00,0.202
1997-12-01 05:10:00,0.198
1997-12-01 05:15:00,0.355
1997-12-01 05:20:00,0.256
1997-12-01 05:25:00,0.166
1997-12-01 05:30:00,0.417
1997-12-01 05:35:00,0.344
1997-12-01 05:40:00,0.141
1997-12-01 05:45:00,0.109
1997-12-01 05:50:00,0.273
1997-12-01 05:55:00,0.209
1997-12-01 06:00:00,0.22
1997-12-01 06:05:00,0.242
1997-12-01 06:10:00,0.318
1997-12-01 06:15:00,0.294
1997-12-01 06:20:00,0.188
1997-12-01 06:25:00,0.157
1997-12-01 06:30:00,0.189
1997-12-01 06:35:00,0.143
1997-12-01 06:40:00,0.142
1997-12-01 06:45:00,0.237
1997-12-01 06:50:00,0.169
1997-12-01 06:55:00,0.156
1997-12-01 07:00:00,0.359
1997-12-01 07:05:00,0.111
1997-12-01 07:10:00,0.249
1997-12-01 07:15:00,0.16
1997-12-01 07:20:00,0.189
1997-12-01 07:25:00,0.182
1997-12-01 07:30:00,0.3
1997-12-01 07:35:00,0.133
1997-12-01 07:40:00,0.126
1997-12-01 07:45:00,0.304
1997-12-01 07:50:00,0.128
1997-12-01 07:55:00,0.223
1997-12-01 08:00:00,0.197
1997-12-01 08:05:00,0.269
1997-12-01 08:10:00,0.149
1997-12-01 08:15:00,0.296
1997-12-01 08:20:00,0.273
1997-12-01 08:25:00,0.153
1997-12-01 08:30:00,0.309
1997-12-01 08:35:00,0.319
1997-12-01 08:40:00,0.331
1997-12-01 08:45:00,0.157
1997-12-01 08:50:00,0.278
1997-12-01 08:55:00,0.214
1997-12-01 09:00:00,0.253
1997-12-01 09:05:00,0.54
1997-12-01 09:10:00,0.285
1997-12-01 09:15:00,0.452
1997-12-01 09:20:00,0.199
1997-12-01 09:25:00,0.157
1997-12-01 09:30:00,0.209
1997-12-01 09:35:00,0.158
1997-12-01 09:40:00,0.167
1997-12-01 09:45:00,0.25
1997-12-01 09:50:00,0.31
1997-12-01 09:55:00,0.167
1997-12-01 10:00:00,0.19
1997-12-01 10:05:00,0.448
1997-12-01 10:10:00,0.24
1997-12-01 10:15:00,0.135
1997-12-01 10:20:00,0.255
1997-12-01 10:25:00,0.304
1997-12-01 10:30:00,0.208
1997-12-01 10:35:00,0.164
1997-12-01 10:40:00,0.133
1997-12-01 10:45:00,0.297
1997-12-01 10:50:00,0.184
1997-12-01 10:55:00,0.149
1997-12-01 11:00:00,0.195
1997-12-01 11:05:00,0.141
1997-12-01 11:10:00,0.117
1997-12-01 11:15:00,0.214
1997-12-01 11:20:00,0.218
1997-12-01 11:25:00,0.389
1997-12-01 11:30:00,0.144
1997-12-01 11:35:00,0.442
1997-12-01 11:40:00,0.2
1997-12-01 11:45:00,0.206
1997-12-01 11:50:00,0.232
1997-12-01 11:55:00,0.164
1997-12-01 12:00:00,0.14
1997-12-01 12:05:00,0.206
1997-12-01 12:10:00,0.241
1997-12-01 12:15:00,0.194
1997-12-01 12:20:00,0.383
1997-12-01 12:25:00,0.374
1997-12-01 12:30:00,0.207
1997-12-01 12:35:00,0.185
1997-12-01 12:40:00,0.133
1997-12-01 12:45:00,0.201
1997-12-01 12:50:00,0.21
1997-12-01 12:55:00,0.513
1997-12-01 13:00:00,0.406
