time_tag,p3_flux_ic
2000-11-10 05:50:00,1560.0
2000-11-10 05:55:00,1480.0
2000-11-10 06:00:00,1500.0
2000-11-10 06:05:00,1510.0
2000-11-10 06:10:00,1460.0
2000-11-10 06:15:00,1500.0
2000-11-10 06:20:00,1480.0
2000-11-10 06:25:00,1830.0
2000-11-10 06:30:00,1520.0
2000-11-10 06:35:00,1330.0
2000-11-10 06:40:00,1230.0
2000-11-10 06:45:00,1120.0
2000-11-10 06:50:00,946.0
2000-11-10 06:55:00,780.0
2000-11-10 07:00:00,757.0
2000-11-10 07:05:00,766.0
2000-11-10 07:10:00,767.0
2000-11-10 07:15:00,841.0
2000-11-10 07:20:00,851.0
2000-11-10 07:25:00,865.0
2000-11-10 07:30:00,867.0
2000-11-10 07:35:00,822.0
2000-11-10 07:40:00,845.0
2000-11-10 07:45:00,811.0
2000-11-10 07:50:00,785.0
2000-11-10 07:55:00,782.0
2000-11-10 08:00:00,748.0
2000-11-10 08:05:00,632.0
2000-11-10 08:10:00,583.0
2000-11-10 08:15:00,545.0
2000-11-10 08:20:00,495.0
2000-11-10 08:25:00,490.0
2000-11-10 08:30:00,474.0
2000-11-10 08:35:00,512.0
2000-11-10 08:40:00,512.0
2000-11-10 08:45:00,525.0
2000-11-10 08:50:00,560.0
2000-11-10 08:55:00,571.0
2000-11-10 09:00:00,664.0
2000-11-10 09:05:00,684.0
2000-11-10 09:10:00,731.0
2000-11-10 09:15:00,690.0
2000-11-10 09:20:00,724.0
2000-11-10 09:25:00,743.0
2000-11-10 09:30:00,697.0
2000-11-10 09:35:00,703.0
2000-11-10 09:40:00,741.0
2000-11-10 09:45:00,745.0
2000-11-10 09:50:00,746.0
2000-11-10 09:55:00,728.0
2000-11-10 10:00:00,703.0
2000-11-10 10:05:00,701.0
2000-11-10 10:10:00,726.0
2000-11-10 10:15:00,728.0
2000-11-10 10:20:00,752.0
2000-11-10 10:25:00,701.0
2000-11-10 10:30:00,735.0
2000-11-10 10:35:00,681.0
2000-11-10 10:40:00,706.0
2000-11-10 10:45:00,690.0
2000-11-10 10:50:00,
2000-11-10 10:55:00,
2000-11-10 11:00:00,649.0
2000-11-10 11:05:00,619.0
2000-11-10 11:10:00,
2000-11-10 11:15:00,
2000-11-10 11:20:00,
2000-11-10 11:25:00,
2000-11-10 11:30:00,
2000-11-10 11:35:00,
2000-11-10 11:40:00,566.0
2000-11-10 11:45:00,564.0
2000-11-10 11:50:00,
2000-11-10 11:55:00,
2000-11-10 12:00:00,
2000-11-10 12:05:00,
2000-11-10 12:10:00,
2000-11-10 12:15:00,
2000-11-10 12:20:00,
2000-11-10 12:25:00,
2000-11-10 12:30:00,
2000-11-10 12:35:00,
2000-11-10 12:40:00,
2000-11-10 12:45:00,710.0
2000-11-10 12:50:00,624.0
2000-11-10 12:55:00,
2000-11-10 13:00:00,
2000-11-10 13:05:00,
2000-11-10 13:10:00,
2000-11-10 13:15:00,
2000-11-10 13:20:00,
2000-11-10 13:25:00,596.0
2000-11-10 13:30:00,547.0
2000-11-10 13:35:00,
2000-11-10 13:40:00,546.0
2000-11-10 13:45:00,519.0
2000-11-10 13:50:00,486.0
2000-11-10 13:55:00,460.0
2000-11-10 14:00:00,484.0
2000-11-10 14:05:00,
2000-11-10 14:10:00,
2000-11-10 14:15:00,460.0
2000-11-10 14:20:00,445.0
2000-11-10 14:25:00,454.0
2000-11-10 14:30:00,
2000-11-10 14:35:00,
2000-11-10 14:40:00,458.0
2000-11-10 14:45:00,448.0
2000-11-10 14:50:00,412.0
2000-11-10 14:55:00,465.0
2000-11-10 15:00:00,432.0
2000-11-10 15:05:00,419.0
2000-11-10 15:10:00,
2000-11-10 15:15:00,
2000-11-10 15:20:00,450.0
2000-11-10 15:25:00,
2000-11-10 15:30:00,
2000-11-10 15:35:00,422.0
2000-11-10 15:40:00,
2000-11-10 15:45:00,
2000-11-10 15:50:00,423.0
2000-11-10 15:55:00,426.0
2000-11-10 16:00:00,430.0
2000-11-10 16:05:00,427.0
2000-11-10 16:10:00,424.0
2000-11-10 16:15:00,434.0
2000-11-10 16:20:00,411.0
2000-11-10 16:25:00,420.0
2000-11-10 16:30:00,
2000-11-10 16:35:00,
2000-11-10 16:40:00,
2000-11-10 16:45:00,
2000-11-10 16:50:00,
2000-11-10 16:55:00,
2000-11-10 17:00:00,
2000-11-10 17:05:00,
2000-11-10 17:10:00,
2000-11-10 17:15:00,
2000-11-10 17:20:00,
2000-11-10 17:25:00,
2000-11-10 17:30:00,
2000-11-10 17:35:00,
2000-11-10 17:40:00,
2000-11-10 17:45:00,
2000-11-10 17:50:00,388.0
2000-11-10 17:55:00,396.0
2000-11-10 18:00:00,396.0
2000-11-10 18:05:00,393.0
2000-11-10 18:10:00,403.0
2000-11-10 18:15:00,
2000-11-10 18:20:00,
2000-11-10 18:25:00,
2000-11-10 18:30:00,350.0
2000-11-10 18:35:00,376.0
2000-11-10 18:40:00,338.0
2000-11-10 18:45:00,315.0
2000-11-10 18:50:00,347.0
2000-11-10 18:55:00,288.0
2000-11-10 19:00:00,328.0
2000-11-10 19:05:00,318.0
2000-11-10 19:10:00,301.0
2000-11-10 19:15:00,333.0
2000-11-10 19:20:00,294.0
2000-11-10 19:25:00,290.0
2000-11-10 19:30:00,327.0
2000-11-10 19:35:00,273.0
2000-11-10 19:40:00,318.0
2000-11-10 19:45:00,300.0
2000-11-10 19:50:00,263.0
2000-11-10 19:55:00,326.0
2000-11-10 20:00:00,246.0
2000-11-10 20:05:00,294.0
2000-11-10 20:10:00,303.0
2000-11-10 20:15:00,231.0
2000-11-10 20:20:00,301.0
2000-11-10 20:25:00,242.0
2000-11-10 20:30:00,
2000-11-10 20:35:00,337.0
2000-11-10 20:40:00,213.0
2000-11-10 20:45:00,269.0
2000-11-10 20:50:00,276.0
2000-11-10 20:55:00,239.0
2000-11-10 21:00:00,303.0
2000-11-10 21:05:00,224.0
2000-11-10 21:10:00,
2000-11-10 21:15:00,
2000-11-10 21:20:00,
2000-11-10 21:25:00,
2000-11-10 21:30:00,
2000-11-10 21:35:00,243.0
2000-11-10 21:40:00,302.0
2000-11-10 21:45:00,204.0
2000-11-10 21:50:00,253.0
2000-11-10 21:55:00,212.0
2000-11-10 22:00:00,
2000-11-10 22:05:00,
2000-11-10 22:10:00,
2000-11-10 22:15:00,233.0
2000-11-10 22:20:00,
2000-11-10 22:25:00,
2000-11-10 22:30:00,262.0
2000-11-10 22:35:00,242.0
2000-11-10 22:40:00,249.0
2000-11-10 22:45:00,290.0
2000-11-10 22:50:00,214.0
2000-11-10 22:55:00,253.0
2000-11-10 23:00:00,254.0
2000-11-10 23:05:00,209.0
2000-11-10 23:10:00,
