time_tag,p3_flux_ic
1995-10-01 00:00:00,0.254
1995-10-01 00:05:00,0.16
1995-10-01 00:10:00,0.109
1995-10-01 00:15:00,0.226
1995-10-01 00:20:00,0.225
1995-10-01 00:25:00,0.27
1995-10-01 00:30:00,0.302
1995-10-01 00:35:00,0.183
1995-10-01 00:40:00,0.246
1995-10-01 00:45:00,0.117
1995-10-01 00:50:00,0.161
1995-10-01 00:55:00,0.151
1995-10-01 01:00:00,0.353
1995-10-01 01:05:00,0.128
1995-10-01 01:10:00,0.147
1995-10-01 01:15:00,0.153
1995-10-01 01:20:00,0.263
1995-10-01 01:25:00,0.225
1995-10-01 01:30:00,0.113
1995-10-01 01:35:00,0.188
1995-10-01 01:40:00,0.146
1995-10-01 01:45:00,0.221
1995-10-01 01:50:00,0.276
1995-10-01 01:55:00,0.135
1995-10-01 02:00:00,0.131
1995-10-01 02:05:00,0.171
1995-10-01 02:10:00,0.106
1995-10-01 02:15:00,0.219
1995-10-01 02:20:00,0.109
1995-10-01 02:25:00,0.275
1995-10-01 02:30:00,0.233
1995-10-01 02:35:00,0.149
1995-10-01 02:40:00,0.279
1995-10-01 02:45:00,0.165
1995-10-01 02:50:00,0.141
1995-10-01 02:55:00,0.287
1995-10-01 03:00:00,0.106
1995-10-01 03:05:00,0.116
1995-10-01 03:10:00,0.147
1995-10-01 03:15:00,0.124
1995-10-01 03:20:00,0.106
1995-10-01 03:25:00,0.127
1995-10-01 03:30:00,0.23
1995-10-01 03:35:00,0.144
1995-10-01 03:40:00,0.257
1995-10-01 03:45:00,0.25
1995-10-01 03:50:00,0.157
1995-10-01 03:55:00,0.134
1995-10-01 04:00:00,0.115
1995-10-01 04:05:00,0.149
1995-10-01 04:10:00,0.376
1995-10-01 04:15:00,0.202
1995-10-01 04:20:00,0.125
1995-10-01 04:25:00,0.135
1995-10-01 04:30:00,0.211
1995-10-01 04:35:00,0.152
1995-10-01 04:40:00,0.246
1995-10-01 04:45:00,0.198
1995-10-01 04:50:00,0.211
1995-10-01 04:55:00,0.225
1995-10-01 05:00:00,0.15
1995-10-01 05:05:00,0.237
1995-10-01 05:10:00,0.182
1995-10-01 05:15:00,0.294
1995-10-01 05:20:00,0.255
1995-10-01 05:25:00,0.217
1995-10-01 05:30:00,0.295
1995-10-01 05:35:00,0.159
1995-10-01 05:40:00,0.232
1995-10-01 05:45:00,0.19
1995-10-01 05:50:00,0.372
1995-10-01 05:55:00,0.204
1995-10-01 06:00:00,0.253
1995-10-01 06:05:00,0.13
1995-10-01 06:10:00,0.165
1995-10-01 06:15:00,0.537
1995-10-01 06:20:00,0.268
1995-10-01 06:25:00,0.167
1995-10-01 06:30:00,0.233
1995-10-01 06:35:00,0.127
1995-10-01 06:40:00,0.131
1995-10-01 06:45:00,0.516
1995-10-01 06:50:00,0.182
1995-10-01 06:55:00,0.106
1995-10-01 07:00:00,0.161
1995-10-01 07:05:00,0.151
1995-10-01 07:10:00,0.137
1995-10-01 07:15:00,0.116
1995-10-01 07:20:00,0.185
1995-10-01 07:25:00,0.106
1995-10-01 07:30:00,0.109
1995-10-01 07:35:00,0.197
1995-10-01 07:40:00,0.106
1995-10-01 07:45:00,0.275
1995-10-01 07:50:00,0.219
1995-10-01 07:55:00,0.187
1995-10-01 08:00:00,0.277
1995-10-01 08:05:00,0.141
1995-10-01 08:10:00,0.338
1995-10-01 08:15:00,0.121
1995-10-01 08:20:00,0.198
1995-10-01 08:25:00,0.145
1995-10-01 08:30:00,0.156
1995-10-01 08:35:00,0.236
1995-10-01 08:40:00,0.127
1995-10-01 08:45:00,0.219
1995-10-01 08:50:00,0.14
1995-10-01 08:55:00,0.227
1995-10-01 09:00:00,0.251
1995-10-01 09:05:00,0.173
1995-10-01 09:10:00,0.15
1995-10-01 09:15:00,0.106
1995-10-01 09:20:00,0.239
1995-10-01 09:25:00,0.213
1995-10-01 09:30:00,0.211
1995-10-01 09:35:00,0.139
1995-10-01 09:40:00,0.162
1995-10-01 09:45:00,0.388
1995-10-01 09:50:00,0.212
1995-10-01 09:55:00,0.222
1995-10-01 10:00:00,0.118
1995-10-01 10:05:00,0.266
1995-10-01 10:10:00,0.145
1995-10-01 10:15:00,0.341
1995-10-01 10:20:00,0.211
1995-10-01 10:25:00,0.156
1995-10-01 10:30:00,0.247
1995-10-01 10:35:00,0.153
1995-10-01 10:40:00,0.177
1995-10-01 10:45:00,0.237
1995-10-01 10:50:00,0.171
1995-10-01 10:55:00,0.136
1995-10-01 11:00:00,0.193
1995-10-01 11:05:00,0.144
1995-10-01 11:10:00,0.148
1995-10-01 11:15:00,0.257
1995-10-01 11:20:00,0.248
1995-10-01 11:25:00,0.355
1995-10-01 11:30:00,0.288
1995-10-01 11:35:00,0.28
1995-10-01 11:40:00,0.127
1995-10-01 11:45:00,0.207
1995-10-01 11:50:00,0.133
1995-10-01 11:55:00,0.159
1995-10-01 12:00:00,0.152
1995-10-01 12:05:00,0.154
1995-10-01 12:10:00,0.14
1995-10-01 12:15:00,0.129
1995-10-01 12:20:00,0.19
1995-10-01 12:25:00,0.114
1995-10-01 12:30:00,0.171
1995-10-01 12:35:00,0.373
1995-10-01 12:40:00,0.106
1995-10-01 12:45:00,0.412
1995-10-01 12:50:00,0.188
1995-10-01 12:55:00,0.175
1995-10-01 13:00:00,0.155
